auth ok
[webapp1] HTTP 200 @ 00:12:41
[webapp1] runId=6330cd73
  status=running phase=0 age=1s
  status=running phase=0 age=9s
  status=running phase=0 age=17s
  status=running phase=0 age=26s
  status=running phase=0 age=34s
  status=running phase=0 age=43s
  status=running phase=0 age=51s
  status=running phase=0 age=60s
  status=running phase=0 age=68s
  status=running phase=0 age=77s
  status=running phase=0 age=85s
  status=running phase=0 age=94s
  status=running phase=0 age=102s
  status=running phase=0 age=111s
  status=running phase=0 age=119s
  status=running phase=0 age=128s
  status=running phase=0 age=136s
  status=running phase=0 age=145s
  status=running phase=0 age=153s
  status=running phase=0 age=161s
  status=running phase=0 age=170s
  status=running phase=0 age=178s
  status=running phase=0 age=187s
  status=running phase=0 age=195s
  status=running phase=0 age=204s
  status=running phase=0 age=212s
  status=running phase=0 age=221s
  status=running phase=0 age=229s
  status=running phase=0 age=238s
  status=running phase=0 age=246s
  status=running phase=0 age=254s
  status=running phase=0 age=263s
  status=running phase=0 age=271s
  status=running phase=0 age=280s
  status=running phase=0 age=288s
  status=running phase=0 age=297s
  status=running phase=0 age=305s
  status=running phase=0 age=314s
  status=running phase=0 age=322s
  status=running phase=0 age=331s
  status=running phase=0 age=339s
  status=running phase=0 age=348s
  status=running phase=0 age=356s
  status=running phase=0 age=364s
  status=running phase=0 age=373s
  status=running phase=0 age=381s
  status=running phase=0 age=390s
  status=running phase=0 age=398s
  status=running phase=0 age=407s
  status=running phase=0 age=415s
  status=running phase=0 age=424s
  status=running phase=0 age=432s
  status=running phase=0 age=440s
  status=running phase=0 age=449s
  status=running phase=0 age=457s
  status=running phase=0 age=466s
  status=running phase=0 age=474s
  status=running phase=0 age=483s
  status=running phase=0 age=491s
  status=running phase=0 age=500s
  status=running phase=0 age=508s
  status=running phase=0 age=516s
  status=running phase=0 age=525s
  status=running phase=0 age=533s
  status=running phase=0 age=542s
  status=running phase=0 age=550s
  status=running phase=0 age=559s
  status=running phase=0 age=567s
  status=running phase=0 age=576s
  status=running phase=0 age=584s
  status=running phase=0 age=593s
  status=running phase=0 age=601s
  status=running phase=0 age=609s
  status=running phase=0 age=618s
  status=running phase=0 age=626s
  status=running phase=0 age=635s
  status=running phase=0 age=643s
  status=running phase=0 age=652s
  status=running phase=0 age=660s
  status=running phase=0 age=669s
  status=running phase=0 age=677s
  status=running phase=0 age=686s
  status=running phase=0 age=694s
  status=running phase=0 age=703s
  status=running phase=0 age=711s
  status=running phase=0 age=720s
  status=running phase=0 age=728s
  status=running phase=0 age=737s
  status=running phase=0 age=745s
  status=running phase=0 age=754s
[game1] HTTP 200 @ 00:25:25
[game1] runId=d6dda87b
  status=running phase=0 age=1s
  status=running phase=0 age=9s
  status=running phase=0 age=18s
  status=running phase=0 age=26s
  status=running phase=0 age=35s
  status=running phase=0 age=44s
  status=running phase=0 age=52s
  status=running phase=0 age=61s
  status=running phase=0 age=69s
  status=running phase=0 age=78s
  status=running phase=0 age=86s
  status=running phase=0 age=95s
  status=running phase=0 age=103s
  status=running phase=0 age=112s
  status=running phase=0 age=120s
  status=running phase=0 age=129s
  status=running phase=0 age=137s
  status=running phase=0 age=146s
  status=running phase=0 age=154s
  PREVIEW @ 2m41s -> https://sb-5f0qvm4uk9yc.vercel.run
  status=done phase=0 age=162s

=== game1 RESULT ===
status: done 
first-preview: 2m41s 
total: 2m41s
tokens: 75855
